it,00_0,01_0,10_0,11_0
100,2.35317e-05,4.49731e-09,4.49731e-09,2.30226e-05
101,2.34682e-05,3.25609e-07,3.25609e-07,2.3227e-05
102,2.35223e-05,8.62479e-08,8.62479e-08,2.33415e-05
103,2.35099e-05,5.19402e-08,5.19402e-08,2.32002e-05
104,2.33142e-05,2.3738e-07,2.3738e-07,2.33732e-05
105,2.35902e-05,-2.32931e-07,-2.32931e-07,2.32591e-05
106,2.33393e-05,1.38254e-07,1.38254e-07,2.30184e-05
107,2.34042e-05,2.18067e-07,2.18067e-07,2.32422e-05
108,2.33117e-05,-3.95101e-09,-3.95101e-09,2.30377e-05
109,2.34932e-05,4.66177e-07,4.66177e-07,2.31722e-05
110,2.36866e-05,6.81689e-08,6.81689e-08,2.34105e-05
111,2.36489e-05,1.14244e-07,1.14244e-07,2.31141e-05
112,2.40993e-05,-2.20279e-07,-2.20279e-07,2.31524e-05
113,2.30575e-05,-7.24324e-09,-7.24324e-09,2.32506e-05
114,2.34116e-05,-2.33519e-08,-2.33519e-08,2.31826e-05
115,2.35784e-05,6.8093e-08,6.8093e-08,2.36105e-05
116,2.30302e-05,1.89418e-07,1.89418e-07,2.34872e-05
117,2.33931e-05,3.19154e-07,3.19154e-07,2.32328e-05
118,2.37914e-05,-2.20909e-07,-2.20909e-07,2.30732e-05
119,2.37125e-05,2.0962e-07,2.0962e-07,2.2981e-05
120,2.37579e-05,1.99626e-07,1.99626e-07,2.28844e-05
121,2.33964e-05,-6.3359e-08,-6.3359e-08,2.30794e-05
122,2.31773e-05,1.68121e-07,1.68121e-07,2.3348e-05
123,2.30849e-05,2.53344e-09,2.53344e-09,2.34511e-05
124,2.34484e-05,1.55029e-07,1.55029e-07,2.31074e-05
125,2.32215e-05,1.01442e-07,1.01442e-07,2.32013e-05
126,2.31718e-05,1.06389e-07,1.06389e-07,2.35013e-05
127,2.34506e-05,-1.10224e-07,-1.10224e-07,2.28034e-05
128,2.3511e-05,-6.78851e-08,-6.78851e-08,2.35244e-05
129,2.36213e-05,-3.79634e-07,-3.79634e-07,2.31946e-05
130,2.34432e-05,-2.98935e-07,-2.98935e-07,2.32888e-05
131,2.34596e-05,-1.45589e-07,-1.45589e-07,2.35313e-05
132,2.35398e-05,1.89312e-07,1.89312e-07,2.3129e-05
133,2.31381e-05,8.48974e-08,8.48974e-08,2.2921e-05
134,2.31668e-05,-1.46707e-07,-1.46707e-07,2.31073e-05
135,2.34122e-05,-7.17631e-08,-7.17631e-08,2.35682e-05
136,2.33326e-05,1.6804e-07,1.6804e-07,2.27234e-05
137,2.3633e-05,-2.72836e-07,-2.72836e-07,2.34702e-05
138,2.32687e-05,7.52855e-08,7.52855e-08,2.29045e-05
139,2.35869e-05,8.03895e-08,8.03895e-08,2.35639e-05
140,2.33561e-05,-2.59493e-07,-2.59493e-07,2.2916e-05
141,2.3769e-05,-1.04185e-07,-1.04185e-07,2.29247e-05
142,2.34395e-05,-1.38299e-07,-1.38299e-07,2.31703e-05
143,2.35746e-05,-2.48485e-07,-2.48485e-07,2.28518e-05
144,2.37278e-05,-8.98295e-08,-8.98295e-08,2.29575e-05
145,2.3246e-05,1.10103e-07,1.10103e-07,2.33727e-05
146,2.36172e-05,-1.92985e-07,-1.92985e-07,2.34178e-05
147,2.35461e-05,-4.84217e-08,-4.84217e-08,2.3301e-05
148,2.31155e-05,-1.80784e-07,-1.80784e-07,2.35961e-05
149,2.34742e-05,-8.74376e-08,-8.74376e-08,2.34386e-05
150,2.34465e-05,-6.13979e-08,-6.13979e-08,2.31733e-05
151,2.33181e-05,-4.21703e-07,-4.21703e-07,2.29426e-05
152,2.28518e-05,-2.41817e-07,-2.41817e-07,2.30875e-05
153,2.36349e-05,-7.73068e-08,-7.73068e-08,2.31293e-05
154,2.33156e-05,-8.37673e-08,-8.37673e-08,2.36805e-05
155,2.33219e-05,-1.53803e-07,-1.53803e-07,2.3215e-05
156,2.33376e-05,3.57421e-08,3.57421e-08,2.3286e-05
157,2.35786e-05,-2.58509e-07,-2.58509e-07,2.33213e-05
158,2.36787e-05,1.55272e-07,1.55272e-07,2.26212e-05
159,2.34733e-05,-3.34432e-07,-3.34432e-07,2.30387e-05
160,2.32411e-05,-3.27808e-07,-3.27808e-07,2.31328e-05
161,2.37548e-05,-1.58819e-07,-1.58819e-07,2.32838e-05
162,2.35759e-05,-2.8114e-07,-2.8114e-07,2.29821e-05
163,2.32821e-05,-2.2674e-07,-2.2674e-07,2.27266e-05
164,2.28189e-05,1.39106e-07,1.39106e-07,2.32636e-05
165,2.36764e-05,-3.06424e-07,-3.06424e-07,2.26864e-05
166,2.3229e-05,-2.41834e-07,-2.41834e-07,2.34471e-05
167,2.36423e-05,-2.39176e-07,-2.39176e-07,2.29686e-05
168,2.3605e-05,3.55858e-08,3.55858e-08,2.31384e-05
169,2.31803e-05,-3.22837e-07,-3.22837e-07,2.28796e-05
170,2.37608e-05,-3.35238e-07,-3.35238e-07,2.30871e-05
171,2.34745e-05,-2.29468e-07,-2.29468e-07,2.29147e-05
172,2.34625e-05,-2.41024e-07,-2.41024e-07,2.27704e-05
173,2.33855e-05,-2.10426e-07,-2.10426e-07,2.28228e-05
174,2.36151e-05,-2.50959e-07,-2.50959e-07,2.30313e-05
175,2.34916e-05,-2.89925e-07,-2.89925e-07,2.31802e-05
176,2.34717e-05,-1.39265e-07,-1.39265e-07,2.32141e-05
177,2.37535e-05,-1.69473e-07,-1.69473e-07,2.34045e-05
178,2.36426e-05,-6.13865e-07,-6.13865e-07,2.34463e-05
179,2.36297e-05,-3.95508e-07,-3.95508e-07,2.28e-05
180,2.36052e-05,-1.441e-07,-1.441e-07,2.24927e-05
181,2.35592e-05,-3.02922e-07,-3.02922e-07,2.29125e-05
182,2.3365e-05,-3.2011e-07,-3.2011e-07,2.30137e-05
183,2.35711e-05,-3.25076e-07,-3.25076e-07,2.28947e-05
184,2.35755e-05,-6.40441e-07,-6.40441e-07,2.30624e-05
185,2.3529e-05,-3.00085e-07,-3.00085e-07,2.31451e-05
186,2.34474e-05,-3.74087e-07,-3.74087e-07,2.28649e-05
187,2.39286e-05,-4.55552e-07,-4.55552e-07,2.27917e-05
188,2.34532e-05,-4.12429e-07,-4.12429e-07,2.26958e-05
189,2.33702e-05,-1.07622e-07,-1.07622e-07,2.2906e-05
190,2.35963e-05,-3.1196e-07,-3.1196e-07,2.28893e-05
191,2.36515e-05,-5.63514e-07,-5.63514e-07,2.25572e-05
192,2.31358e-05,-3.73409e-07,-3.73409e-07,2.34856e-05
193,2.3215e-05,-6.3408e-07,-6.3408e-07,2.30585e-05
194,2.39547e-05,-5.164e-07,-5.164e-07,2.29767e-05
195,2.37499e-05,-3.90291e-07,-3.90291e-07,2.29167e-05
