it,00_0,01_0,10_0,11_0,00_1,01_1,10_1,11_1
1000,0.000104233,-1.09933e-06,-1.09933e-06,0.000107162,0.000103238,1.72443e-06,1.72443e-06,0.000103514
1001,0.000104697,-1.23251e-07,-1.23251e-07,0.000106549,0.000101834,-2.80595e-08,-2.80595e-08,0.000100726
1002,0.000102872,-4.3478e-07,-4.3478e-07,0.000102395,0.000104294,1.24778e-06,1.24778e-06,0.000101129
1003,0.000102419,-7.15586e-07,-7.15586e-07,0.000102859,0.000103338,2.85239e-07,2.85239e-07,0.000105225
1004,0.000103609,4.23918e-07,4.23918e-07,0.000104314,0.000103015,1.31065e-06,1.31065e-06,0.000104285
1005,0.000105336,-1.2943e-06,-1.2943e-06,0.000104024,0.000105236,-7.71753e-07,-7.71753e-07,0.000105297
1006,0.000103394,-5.25409e-07,-5.25409e-07,0.00010557,0.000104788,7.33708e-07,7.33708e-07,0.000104587
1007,0.000101051,5.27263e-07,5.27263e-07,0.000105209,0.000104492,8.10145e-07,8.10145e-07,0.000103356
1008,0.000103296,7.59787e-07,7.59787e-07,0.000103705,0.000102008,1.104e-06,1.104e-06,0.000104306
1009,0.000102024,3.09698e-07,3.09698e-07,0.000104674,0.000104064,-1.53791e-06,-1.53791e-06,0.000103781
1010,0.000102453,-2.35817e-06,-2.35817e-06,0.000103373,0.000101611,1.39796e-06,1.39796e-06,0.000102667
1011,0.000103375,-1.93399e-06,-1.93399e-06,0.000106945,0.000102743,-5.19864e-07,-5.19864e-07,0.000104023
1012,0.000103335,3.14739e-07,3.14739e-07,0.000104057,0.000102408,-1.37619e-07,-1.37619e-07,0.000102074
1013,0.0001022,-1.79281e-06,-1.79281e-06,0.000105331,0.000104239,1.79445e-06,1.79445e-06,0.000102826
1014,0.000104847,1.03771e-06,1.03771e-06,0.000105525,0.000103714,1.32831e-06,1.32831e-06,0.00010548
1015,0.0001043,-5.03717e-07,-5.03717e-07,0.000104013,0.000106417,-1.10494e-07,-1.10494e-07,0.000105499
1016,0.000101839,-1.03967e-07,-1.03967e-07,0.000106051,0.000104551,1.37592e-06,1.37592e-06,0.000105098
1017,0.000103611,-3.20401e-07,-3.20401e-07,0.000105226,0.000104178,1.02452e-06,1.02452e-06,0.000102838
1018,0.00010436,1.33803e-06,1.33803e-06,0.000101834,0.000103643,1.16019e-06,1.16019e-06,0.00010682
1019,0.000102557,-1.57747e-07,-1.57747e-07,0.000106204,0.000103399,6.62419e-07,6.62419e-07,0.000101847
1020,0.000102383,3.41913e-07,3.41913e-07,0.000102882,0.00010482,1.19994e-06,1.19994e-06,0.000103225
1021,0.000102206,-6.10634e-07,-6.10634e-07,0.000103439,0.000102085,2.09725e-07,2.09725e-07,0.000103483
1022,0.00010232,1.10804e-06,1.10804e-06,0.000104521,0.000103368,3.02556e-06,3.02556e-06,0.000104862
1023,0.000101064,-1.07388e-07,-1.07388e-07,0.00010446,0.00010424,1.07648e-06,1.07648e-06,0.000104543
1024,0.000101809,2.83437e-06,2.83437e-06,0.000103546,0.000104044,1.5979e-06,1.5979e-06,0.000103257
